pl_name,hostname,ra,dec,sy_dist
"HD 70642 b","HD 70642",125.3661079,-39.7044432,29.27600000
"Kepler-20 d","Kepler-20",287.6979913,42.3385782,282.56300000
"Kepler-976 b","Kepler-976",289.8696232,46.7296855,1012.41000000
"Kepler-188 c","Kepler-188",281.2797173,44.3154743,968.54400000
"K2-151 b","K2-151",19.3047733,9.5012663,69.47980000
"HAT-P-54 b","HAT-P-54",99.8979924,25.4824005,143.65100000
"Kepler-61 b","Kepler-61",295.3044942,42.4753193,335.07900000
"Kepler-818 b","Kepler-818",296.2351072,39.3702865,925.03700000
"WASP-15 b","WASP-15",208.9280111,-32.1597118,282.09100000
"Kepler-890 b","Kepler-890",288.4357180,43.7634712,1712.12000000
"WASP-58 b","WASP-58",274.7012534,45.1722194,290.40400000
"Kepler-902 b","Kepler-902",289.7317067,46.9538750,1165.34000000
"Kepler-1295 b","Kepler-1295",291.3978451,45.5885530,1174.46000000
"K2-369 b","K2-369",329.7262534,-10.8750666,185.55000000
"Kepler-647 c","Kepler-647",284.7882977,44.5916225,1087.87000000
"Kepler-1552 b","Kepler-1552",291.6768669,38.8749152,769.09600000
"Kepler-1998 b","Kepler-1998",283.4291536,47.5923973,340.96500000
"OGLE-2018-BLG-1126L b","OGLE-2018-BLG-1126L",268.3558750,-31.7247194,5700.00000000
"Kepler-1907 c","Kepler-1907",280.7085829,47.3279236,292.11100000
"Kepler-480 b","Kepler-480",294.4639165,49.7650473,847.50800000
