source_id,ra,dec,parallax,phot_g_mean_mag,bp_rp,teff,radius,logg
2106630885454013184,283.83388403904866,43.946451132674866,10.440410406499382,2.3616831,2.4237096,,,
2098074279806975488,279.5270174902829,39.66836302692522,2.398640514974727,4.2299094,3.191038,3542.9114,239.6443,0.4903
2131342100048643584,285.36007079270075,46.934403659992824,25.783190288852335,4.96545,0.26363277,7802.5654,1.8806,4.0459
2098237660364079232,281.08484586953585,39.67040646268997,20.691106189684007,4.9995594,0.19148207,,,
2104353693791933824,283.3269444066009,40.99527410344536,3.8739257777757055,5.057315,3.13808,,,
2104485016711846656,283.71739447350785,41.60271038538623,12.338054441768968,5.205865,1.1754031,4912.6104,9.9993,2.6917
2098202128093842432,281.0949541298853,39.61293241826713,20.339302116807925,5.2169175,0.22511673,7967.335,2.0813,3.9697
2103815448491466496,285.0794353187082,40.68393209775818,3.2398911847943013,5.282724,2.7485108,,,
2098202128100428288,281.0957896420729,39.61308741452066,20.4543739021164,5.400982,0.31637812,7606.6953,2.0426,3.973
2119559183688863488,282.28270393219475,47.51569384304369,3.6481903279577517,5.6287804,3.6228485,,,
2131831520161558272,283.69602266611844,48.858802557005475,18.206096385196126,5.7291913,0.6154332,6326.9224,2.7751,3.7875
2112037459002845696,275.99995423484376,43.907707273080234,2.380509306251212,5.7463493,2.2161455,4921.7236,86.3669,1.2986
2104983267278926336,283.36902468121826,42.902599921766885,2.545679108076406,5.9320345,1.9078798,,,
2098237656065233792,281.08464514383775,39.671021627825006,20.457373951790505,6.0417485,0.4326868,,,
2098654306550178560,281.5542027067159,41.441810379033896,3.8934857267954,6.0441666,-0.17319632,12855.837,4.4202,3.7777
2143787918839367808,282.0668584016869,48.76776864368171,16.377382582968973,6.089439,0.2912774,7802.6597,1.8559,3.9463
2104876786449045504,283.8989616043914,42.0604700144551,4.144133760774147,6.1571856,1.4400263,4672.584,22.7817,2.2303
2117048856905564288,279.18992321178405,43.22176929673206,7.965449679765236,6.164902,0.34028625,7315.2266,3.8961,3.542
2103449001881575680,284.69412333843746,40.67918358696836,2.905776583512426,6.182846,-0.21034956,15576.969,4.7388,3.7577
2119792142714410368,280.97672215299866,47.61603786123222,4.349985462200042,6.220064,1.5482249,4494.3096,24.7566,2.0376
2110533322798008192,279.8877441608356,40.93505303760348,3.2942691305144707,6.228037,-0.057605743,10404.003,6.5417,3.4061
2104376989694932608,283.0301857514833,41.383239759045,3.1339937222551644,6.2522926,-0.0763526,11136.363,5.2627,3.4625
2118494512835636096,278.1578417016037,46.09258431431925,3.538655605806191,6.2865667,1.4362326,4735.7324,25.8281,2.1608
2105266735120562432,282.3361336015911,43.73456401707114,7.555435287530752,6.335905,0.99710417,5919.8145,6.2008,3.1244
2118465478856630016,278.08735321128535,45.77441997838652,2.0915487349641904,6.409397,1.6648889,,,
2098491849407725824,279.9980177226668,40.331400294281835,2.015082594031473,6.4095507,3.5624838,,,
2104904514758214656,283.62151043127983,42.52864790576855,2.39686433828321,6.450516,3.0429869,,,
2100917342000577408,286.5709945951491,41.413773087338015,2.793212563376024,6.471903,-0.21210098,14353.179,4.419,3.8332
2119115290229197568,281.7461661007941,46.314852308210064,4.525471972907268,6.5006256,0.11028099,,,
2107502347198939008,282.7999812416259,46.738205539750254,1.7301991595835586,6.534681,2.825972,,,
